Police_Station,population_estimate
HONDEKLIP BAY,1053
HONEYDEW,220840
HOOPDAL,2224
HOOPSTAD,19255
HOPEFIELD,8894
HOPETOWN,12405
HOUT BAY,33287
HOWICK,37739
HUHUDI,26626
HUMANSDORP,34098
HUMEWOOD,38425
IBISI,48416
IDA,1738
IKAGENG,107765
IKAMVELIHLE,43469
ILINGE,17412
IMPENDLE,29113
INANDA,325565
INCHANGA,52192
INDWE,9129
INGOGO,4040
INGWAVUMA,75935
INT AIRP KING SHAKA,183
INTSIKENI,47935
INYIBIBA,43244
IPELEGENG,36599
ISIPINGO,46526
ITSOSENG,58571
IVORY PARK,277053
IXOPO,44434
JABULANI,110806
JACOBSDAL,10057
JAGERSFONTEIN,6296
JAMESTOWN,5609
JAN KEMPDORP,26865
JANE FURSE,58033
JANSENVILLE,7005
JEFFREYS BAY,29173
JEPPE,63721
JERICHO,26814
JHB CENTRAL,51187
JOUBERTINA,20349
JOUBERTON,113585
JOZA,34765
JOZINI,75036
KAAPMUIDEN,2906
KABEGA PARK,72277
KABOKWENI,131276
KAGISANONG,86836
KAGISHO,45725
KAGISO,178164
KAKAMAS,23908
KAMEELDRIFT,16264
KAMESH,70406
KAMIESKROON,6461
KANANA,78490
KANONEILAND,4015
KANYAMAZANE,51668
KAREEDOUW,9774
KATHU,19401
KATKOP,17241
KATLEHONG,155941
KATLEHONG NORTH,118434
KEI BRIDGE,5609
KEI MOUTH,3054
KEI ROAD,2423
KEIMOES,16944
KEISKAMMAHOEK,28438
KEMPTON PARK,73364
KENHARDT,5958
KENSINGTON,25607
KENTON ON SEA,11800
KESTELL,11044
KGOMOTSO,14462
KHAYELITSHA,154362
Khubusidrift,515
KHUMA,46468
KHUTSONG,62929
KIDDS BEACH,13079
KIMBERLEY,71652
King William Town,43444
KINGSLEY,4007
KINKELBOS,2577
KINROSS,15563
KIRKWOOD,23559
KIRSTENHOF,30268
KLAPMUTS,13669
KLAWER,11035
KLEINBULHOEK,9953
KLEINMOND,9110
KLEINSEE,832
KLEINVLEI,96589
KLERKSDORP,84123
KLERKSKRAAL,3482
KLIPGAT,77706
KLIPPLAAT,3322
KLIPRIVIER,13656
KLIPTOWN,102491
KNYSNA,68513
KOFFIEFONTEIN,11825
KOKSTAD,57888
KOLOMANE,1648
KOMAGGAS,4581
KOMATIPOORT,21544
KOMGA,10402
KOMMISSIEPOORT,1499
KOPANONG,60014
KOPPIES,15929
KOSTER,31028
KRAAIFONTEIN,165572
KRANSKOP,56330
KRIEL,39307
KROONSTAD,29209
KRUGERSDORP,126327
KUILSRIVIER,71953
KURUMAN,17351
KUYASA,10072
KWA THEMA,96034
KWAAIMAN,54505
KWADABEKA,108559
KWADUKUZA,157244
KWADWESI,54343
KWAGGAFONTEIN,97643
KWAMAKHUTHA,106710
KWAMASHU E,146684
KWAMBONAMBI,89399
KWAMHLANGA,126796
KWAMSANE,128606
KWANDENGANE,30197
KWANDENGEZI,67527
KWANOBUHLE,105585
KWANOKUTHULA,20941
KWANONQABA,33736
KWAZAKELE,107458
LAAIPLEK,13766
LADISMITH,17393
LADY FRERE,54244
LADY GREY,8140
LADYBRAND,28548
LADYSMITH,105650
LAERSDRIFT,4365
LAINGSBURG,8090
LAMBERTSBAAI,7078
LAMONTVILLE,33469
LANGA,47482
LANGEBAAN,8183
